artist,track,release_title,release_year,label,release_id,duration
Faithless,Evergreen (Dusted Remix),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:34
Goldfrapp,Lovely Head,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,3:47
Röyksopp,Sparks,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:23
Beth Hirsch,Come A Day,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,3:32
"Ursula Rucker, Vicki Miles",Letter To A Sister Friend,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:48
Jaffa,Sneakin' (Vocal),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,6:19
Airlock,Awakening,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:10
Fenomenon,Awake,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:41
Si*Sé,The Rain (Where Do I Begin?),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:33
De-Phazz,Online,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:15
Urban Dwellers,Trust Me (Sector 7G Remix),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:01
Yonderboi,Fairy Of The Lake,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:08
Mescalito,Rambla,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,7:10
Natural Calamity,And That's Saying A Lot (Natural Calamity Alternative Remix),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:09
PC Synergy,Drift,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,6:05
Depeche Mode,When The Body Speaks,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:59
Lamb,Gabriel,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:20
Chris Coco,Only Love,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:28
"Fac 15, Cathi Ogden",Rainy Days And Mondays,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:30
Amar,Sometimes It Snows In April,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:23
The Dining Rooms,M. Dupont,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:59
Fused,Twisted,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:10
Night Traffic,Empty Beaches,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:47
Afterlife,Deeper - Into Places,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:18
Sia,Blow It All Away,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:41
Minty Style,See The Light (Austral Mix),Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,3:19
Kelli Ali,Sunlight In The Rain,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,4:39
Emiliana Torrini,To Be Free,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,3:23
Kosheen,Gone,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,3:37
Mr. Hermano,Leave Me On A High,Winter Chill 3 (30 True Chill Out Tracks),2001,Hed Kandi,28851,5:54
Valerie Etienne,Misunderstanding (Roger's R-Senal Mix),Nu Cool 4,2000,Hed Kandi,72995,6:40
Stephanie Mills,"Latin Lover (MAW 12"" Mix)",Nu Cool 4,2000,Hed Kandi,72995,8:41
"Shazz, Ken Norris",The Inner Side 99 (Lenny Fontana Deep & Horny Vocal Mix),Nu Cool 4,2000,Hed Kandi,72995,7:23
"Benji Candelario, Arnold Jarvis","Learn To Give (Eric Kupper 12"" Mix)",Nu Cool 4,2000,Hed Kandi,72995,9:37
Moloko,The Time Is Now (Can 7 Jungle Boogie),Nu Cool 4,2000,Hed Kandi,72995,7:16
Tiefschwarz,Music (Matty's Soulflower Mix),Nu Cool 4,2000,Hed Kandi,72995,8:10
Fafa Monteco,Le Piano Bar,Nu Cool 4,2000,Hed Kandi,72995,7:30
Brother Brown,Under The Water (Deep Dish Mix),Nu Cool 4,2000,Hed Kandi,72995,10:08
De'Lacy,Hideaway (Dubfire Needs To Score Mix),Nu Cool 4,2000,Hed Kandi,72995,9:45
Jenny Devivo,Season Of The Witch (Original Version),Nu Cool 4,2000,Hed Kandi,72995,6:16
Summerland,Soul Mate (Naked MAJ Original Mix),Nu Cool 4,2000,Hed Kandi,72995,3:28
Journey Man DJ,Journeyman Blues,Nu Cool 4,2000,Hed Kandi,72995,5:31
Cooly's Hot Box,We Don't Have To Be Alone (Basement Jaxx World Mix),Nu Cool 4,2000,Hed Kandi,72995,7:12
Isolée,Beau Mot Plage (Freeform Reform Parts I & II),Nu Cool 4,2000,Hed Kandi,72995,10:39
Masters At Work,MAW Expensive,Nu Cool 4,2000,Hed Kandi,72995,11:52
Mondo Grosso,Vibe PM (MAW Mix),Nu Cool 4,2000,Hed Kandi,72995,6:51
"Kenny ""Dope"" Gonzalez",Can You Handle It (Pt. One),Nu Cool 4,2000,Hed Kandi,72995,3:23
"Stunt Nuts, Melle Mel","The Message (Original 12"" Mix)",Nu Cool 4,2000,Hed Kandi,72995,6:35
"Groove Armada, Gram'ma Funk",I See You Baby (Fatboy Slim Remix),Nu Cool 4,2000,Hed Kandi,72995,5:44
Spanky Wilson,Sunshine Of Your Love,Nu Cool 4,2000,Hed Kandi,72995,3:43
Afterlife,Makes Me Feel,Winter Chill 2,2000,Hed Kandi,86722,6:01
Moby,Porcelain,Winter Chill 2,2000,Hed Kandi,86722,4:00
Chicane,No Ordinary Morning,Winter Chill 2,2000,Hed Kandi,86722,5:08
Delerium,Silence,Winter Chill 2,2000,Hed Kandi,86722,6:34
The Beloved,Deliver Me,Winter Chill 2,2000,Hed Kandi,86722,3:54
Dusted,Always Remember To Respect Your Mother Part 1 (Bent Remix),Winter Chill 2,2000,Hed Kandi,86722,6:47
Bent,Swollen,Winter Chill 2,2000,Hed Kandi,86722,7:24
Airlock,Alpha,Winter Chill 2,2000,Hed Kandi,86722,4:39
A Guy Called Gerald,Beaches & Deserts,Winter Chill 2,2000,Hed Kandi,86722,4:03
Thievery Corporation,Lebanese Blonde,Winter Chill 2,2000,Hed Kandi,86722,4:46
Urban Dwellers,Russian Roulette (Dulcimer Cut And Shut Mix),Winter Chill 2,2000,Hed Kandi,86722,6:32
Snooze,Quiet Alone,Winter Chill 2,2000,Hed Kandi,86722,6:27
Goldfrapp,Utopia,Winter Chill 2,2000,Hed Kandi,86722,4:13
Aware,Revoked (Renaissance II Mix),Winter Chill 2,2000,Hed Kandi,86722,5:01
Paul van Dyk,Vega,Winter Chill 2,2000,Hed Kandi,86722,6:38
LTJ Bukem,Sunrain,Winter Chill 2,2000,Hed Kandi,86722,6:40
Smith & Mighty,Move You Run,Winter Chill 2,2000,Hed Kandi,86722,4:54
Handsome Boy Modeling School,The Truth,Winter Chill 2,2000,Hed Kandi,86722,5:36
Hefner,Dive Into You,Winter Chill 2,2000,Hed Kandi,86722,4:25
Tosca,Honey,Winter Chill 2,2000,Hed Kandi,86722,5:56
Terranova,Chase The Blues (Cameron McVey Mix),Winter Chill 2,2000,Hed Kandi,86722,3:49
45 Dip,Motorcity (Dexter's Lab Mix),Winter Chill 2,2000,Hed Kandi,86722,5:44
Night Traffic,Rain,Winter Chill 2,2000,Hed Kandi,86722,6:04
Muki,I Don't Want To Know,Winter Chill 2,2000,Hed Kandi,86722,4:02
Lux,So La Ra Dsa,Winter Chill 2,2000,Hed Kandi,86722,6:58
Millenia Nova,So Beautiful,Winter Chill 2,2000,Hed Kandi,86722,5:44
The Angelica Project,Another Skin,Winter Chill 2,2000,Hed Kandi,86722,4:01
Blue States,The Trainer Shuffle,Winter Chill 2,2000,Hed Kandi,86722,4:05
Cybophonia,Vostok Jazz,Winter Chill 2,2000,Hed Kandi,86722,3:47
Nitin Sawhney,Letting Go,Winter Chill,1999,Hed Kandi,87017,4:52
Afterlife,Breather,Winter Chill,1999,Hed Kandi,87017,5:16
Santessa,Phased,Winter Chill,1999,Hed Kandi,87017,4:15
Aim,Cold Water Music,Winter Chill,1999,Hed Kandi,87017,5:33
Hybrid,Sinequanon,Winter Chill,1999,Hed Kandi,87017,8:04
The Wiseguys,We Be The Crew,Winter Chill,1999,Hed Kandi,87017,5:22
"Rae & Christian, Veba",Swan Song (For A Nation),Winter Chill,1999,Hed Kandi,87017,5:14
Nightmares On Wax,Survival,Winter Chill,1999,Hed Kandi,87017,4:28
Peshay,Pacific,Winter Chill,1999,Hed Kandi,87017,7:43
Anthea,Only One,Winter Chill,1999,Hed Kandi,87017,4:05
Eyedentity,Heavy Interference,Winter Chill,1999,Hed Kandi,87017,4:48
Jazz Vandall's,Lover Man,Winter Chill,1999,Hed Kandi,87017,5:31
Urchin,Candlelight,Winter Chill,1999,Hed Kandi,87017,6:33
LTJ X-Perience,Moonbeat,Winter Chill,1999,Hed Kandi,87017,5:12
Innerzone Orchestra,People Make The World Go 'Round,Winter Chill,1999,Hed Kandi,87017,5:11
Mr. Scruff,So Long,Winter Chill,1999,Hed Kandi,87017,4:12
A Man Called Adam,Wouldn't She,Winter Chill,1999,Hed Kandi,87017,8:04
Nighthawks,'Round Midnight,Winter Chill,1999,Hed Kandi,87017,5:32
Sylk 130,Season's Change,Winter Chill,1999,Hed Kandi,87017,5:30
The Cinematic Orchestra,Channel 1 Suite,Winter Chill,1999,Hed Kandi,87017,5:46
Morcheeba,Moog Island,Winter Chill,1999,Hed Kandi,87017,4:55
The Herbaliser,The Sensual Woman,Winter Chill,1999,Hed Kandi,87017,4:55
45 Dip,Searching For Marden Hill...,Winter Chill,1999,Hed Kandi,87017,5:54
DJ Trax,Serenity,Winter Chill,1999,Hed Kandi,87017,7:27
Omni Trio,Native Place,Winter Chill,1999,Hed Kandi,87017,6:25
Guardians Of Dalliance,Curious,Winter Chill,1999,Hed Kandi,87017,4:54
Dust (2),Sky Inside A Room,Winter Chill,1999,Hed Kandi,87017,5:53
Kevin Yost,If She Only Knew (Original Mix),Nu Cool 3,1999,Hed Kandi,103943,6:58
Presence,Sense Of Danger (Original Presence Mix),Nu Cool 3,1999,Hed Kandi,103943,8:59
"Masters At Work, India",To Be In Love (Original MAW Mix),Nu Cool 3,1999,Hed Kandi,103943,12:17
Cunnie Williams,Saturday (Mousse T.'s House Mix),Nu Cool 3,1999,Hed Kandi,103943,7:51
Incognito,Nights Over Egypt (Masters At Work Main Mix),Nu Cool 3,1999,Hed Kandi,103943,7:50
Cesaria Evora,Sangue De Beirona (Francois K Remix),Nu Cool 3,1999,Hed Kandi,103943,8:23
Moloko,Sing It Back (BMR Clubcut Mix),Nu Cool 3,1999,Hed Kandi,103943,7:15
Bini & Martini,Dancing With You (HOG Club Mix),Nu Cool 3,1999,Hed Kandi,103943,6:39
Sonz Of Soul,Race Of Survival (Rokstone Diva Club Mix),Nu Cool 3,1999,Hed Kandi,103943,9:36
4 Hero,Star Chasers (Masters At Work Main Mix Commercial Edit),Nu Cool 3,1999,Hed Kandi,103943,10:53
Airto Moreira,City Sushi Man (New 98 Mix By Ashley Beedle),Nu Cool 3,1999,Hed Kandi,103943,5:13
Sylk 130,The Reason (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,3:56
"Rae & Christian, Veba",All I Ask (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,4:11
Desert Eagle Discs,All Night Love (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,4:09
The Sunburst Band,U Make Me So Hot (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,4:42
East West Connection,Love Music (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,3:40
Arthur Miles,Helping Hand (Incisive Remix),Nu Cool 3,1999,Hed Kandi,103943,4:38
Gwen McCrae,Funky Sensation (MAW Mix),Nu Cool 3,1999,Hed Kandi,103943,6:26
Aretha Franklin,Respect (One Rascal Mix),Nu Cool 3,1999,Hed Kandi,103943,4:04
The Wiseguys,Ooh La La (Original Album Version),Nu Cool 3,1999,Hed Kandi,103943,5:55
Bronx Dogs,"Mixed Blood (12"" Mix)",Nu Cool 3,1999,Hed Kandi,103943,6:52
Aim,Phantasm (Original Mix),Nu Cool 3,1999,Hed Kandi,103943,6:14
Fac 15,Stay With Me Till Dawn (Kumharas Sunset Mix),Serve Chilled 3,2001,Hed Kandi,110019,6:07
"Salt Tank, Neve",Eugina (Sargasso Sea (I Want To Be Free Mix)),Serve Chilled 3,2001,Hed Kandi,110019,7:11
Chris Coco,Gemini,Serve Chilled 3,2001,Hed Kandi,110019,4:26
Urban Dwellers,Le Croisic (Chris Coco's Silver Stars Mix),Serve Chilled 3,2001,Hed Kandi,110019,5:28
Illumination,Somewhere Out There,Serve Chilled 3,2001,Hed Kandi,110019,5:06
Organic Audio,Always The Sun,Serve Chilled 3,2001,Hed Kandi,110019,6:02
Outside,Sarvesham,Serve Chilled 3,2001,Hed Kandi,110019,5:08
Badmarsh & Shri,Day By Day,Serve Chilled 3,2001,Hed Kandi,110019,4:37
"Rae & Christian, Kate Rogers",Not Just Anybody,Serve Chilled 3,2001,Hed Kandi,110019,5:46
"Companion, Terrance Downs",Run,Serve Chilled 3,2001,Hed Kandi,110019,4:30
Aware,No Belongings,Serve Chilled 3,2001,Hed Kandi,110019,5:09
"Ski Oakenfull, Nina Madhoo",On My Way,Serve Chilled 3,2001,Hed Kandi,110019,4:57
Snooze,Doremifa Girl,Serve Chilled 3,2001,Hed Kandi,110019,4:05
Fug,Ready For Us,Serve Chilled 3,2001,Hed Kandi,110019,7:06
Zimpala,To The Bass,Serve Chilled 3,2001,Hed Kandi,110019,4:55
Bebel Gilberto,August Day Song,Serve Chilled 3,2001,Hed Kandi,110019,4:37
Los Ladrones,La Septima Ola,Serve Chilled 3,2001,Hed Kandi,110019,5:30
S-Tone Inc.,Arejar,Serve Chilled 3,2001,Hed Kandi,110019,4:20
The Menheads,Barabeu,Serve Chilled 3,2001,Hed Kandi,110019,5:35
Cantoma,Pandajero,Serve Chilled 3,2001,Hed Kandi,110019,5:10
"Racoon (5), Rose Max",Sensaçao,Serve Chilled 3,2001,Hed Kandi,110019,7:15
Russ Gabriel,Jelba,Serve Chilled 3,2001,Hed Kandi,110019,9:00
Chichi Peralta,Un Dia Mass (Matty's II Deep Allstar Mix),Serve Chilled 3,2001,Hed Kandi,110019,9:55
AtJazz,Harmony,Serve Chilled 3,2001,Hed Kandi,110019,7:21
Afro-Mystik,Infinite Rhythm,Serve Chilled 3,2001,Hed Kandi,110019,7:00
Slovo,Whisper,Winter Chill 06.02,2002,Hed Kandi,122618,5:18
Abraham,Magpie,Winter Chill 06.02,2002,Hed Kandi,122618,3:25
Nova June,Another Try,Winter Chill 06.02,2002,Hed Kandi,122618,6:25
Hardkandy,Standstill,Winter Chill 06.02,2002,Hed Kandi,122618,4:48
"Eric Kupper, Roy Camembert And His Orchestra",Missing,Winter Chill 06.02,2002,Hed Kandi,122618,4:27
KimBlee,Naturally (Yearn Mix),Winter Chill 06.02,2002,Hed Kandi,122618,5:51
Ive Mendes,Night Night,Winter Chill 06.02,2002,Hed Kandi,122618,4:17
Almadrava,I'm Sorry,Winter Chill 06.02,2002,Hed Kandi,122618,4:48
Space Raiders,Beautiful Crazy,Winter Chill 06.02,2002,Hed Kandi,122618,3:56
Poloroid,Count On You,Winter Chill 06.02,2002,Hed Kandi,122618,3:29
"Aim, Kate Rogers",The Girl Who Fell Through The Ice,Winter Chill 06.02,2002,Hed Kandi,122618,6:06
Fingathing,Haze,Winter Chill 06.02,2002,Hed Kandi,122618,3:26
Gare Du Nord,Pablos Blues,Winter Chill 06.02,2002,Hed Kandi,122618,5:00
